phl_2929_arch_st,f3065893-beeb-41fa-8ed1-79e4c725ba4a
lb_600_atlantic_ave,628f1553-0f70-4b9a-80ff-1c2ead3c77a7
dc_connecticut_ave,b984f1e0-d250-40ee-b1e2-a3fd7fabc844
la_dunn_dr,49666e77-91a9-47ba-ab08-ab33861f5761
la_sunset_blvd,15c30fc5-9133-4166-8f6e-5b8a2d94f4d6
nyc_west_65th_st,42fdd319-ff38-4b52-ad60-18bee91dc55b
nyc_e_41_st,d7b71559-b71d-4637-8031-140284eaec73
sf_ofarrel,f18626dc-404b-4166-9c5b-dd1a450f6d1c
sea_7th_ave,b04d109a-7626-42ce-af0a-acad0134c2bc
mia_brickell_bay_dr,d579cf3c-de1c-4c00-8bca-47add0578e92
bk_34_n_7th_st,9c8dd958-1652-45d0-901b-2a7235db4d54
chi_w_fulton_market,ec30a116-737e-4173-ac4d-a8d8b23fc796
bos_hood_park_dr,103d323b-4b38-476d-ab30-eaf8c92eddfe
JC,31b7facf-063f-4816-a897-cd55aa994747
entire_fleet,123
